run,collection,map,mrr,p@5,p@10,recall@10,recall@50,recall@100,ndcg@10,ndcg@100
doc2query_bm25_cases,cases,0.10750629479954382,0.2127814811608836,0.08,0.05800000000000001,0.14765268065268067,0.24547202797202794,0.30104778554778555,0.13601770981714723,0.18186937568202505
bm25_cases,cases,0.10761428556615618,0.21248152494323072,0.08,0.055999999999999994,0.14365268065268066,0.2488053613053613,0.30104778554778555,0.13416506486205618,0.18188387940286568
colbert_cases,cases,0.07276183174555446,0.1514164427994259,0.052000000000000005,0.04400000000000001,0.1352253302253302,0.2085617715617716,0.23300932400932403,0.10233219518069699,0.13150382385617918
bm25_colbert_cases,cases,0.07174002935333833,0.14951195460645073,0.048,0.04200000000000001,0.13355866355866353,0.21256177156177164,0.2418811188811189,0.10056871108320398,0.13405147606816
doc2query_colbert_cases,cases,0.07168237135156288,0.14950906573936626,0.048,0.04200000000000001,0.13355866355866353,0.21256177156177164,0.24521445221445223,0.10056871108320398,0.13496519242686886
bm25_statutes,statutes,0.07597723871986559,0.17952681644943028,0.06000000000000001,0.05200000000000002,0.12200000000000003,0.2753333333333334,0.44233333333333336,0.09498125814603159,0.1942053048311718
doc2query_bm25_statutes,statutes,0.07620691723300528,0.1783064315080617,0.056000000000000015,0.05200000000000002,0.12200000000000003,0.2753333333333334,0.44733333333333336,0.09481937436678566,0.19563447278418397
colbert_statutes,statutes,0.05161652048948445,0.10382840839392314,0.027999999999999997,0.03200000000000001,0.07300000000000001,0.2833333333333333,0.4783333333333332,0.05128119220812768,0.17277497843832396
bm25_colbert_statutes,statutes,0.052126800071550586,0.10612159381361146,0.032,0.030000000000000006,0.069,0.2833333333333333,0.4783333333333332,0.05010092504033979,0.17352663133328636
doc2query_colbert_statutes,statutes,0.052126800071550586,0.10612159381361146,0.032,0.030000000000000006,0.069,0.2833333333333333,0.4783333333333332,0.05010092504033979,0.17352663133328636
